"Gamma0 statistics. Lon. [-71, -58] [Deg], Lat. [-1.5, 1.5] [Deg]: HH Pol., Ascending",,,,,,,,,,
Loc. inc. angle [Deg],Maximum [dB],5th percentile [dB],25th percentile [dB],Median [dB],75th percentile [dB],95th percentile [dB],Minimum [dB],Mean [dB],Std. Dev. [dB],SEM [dB]
25,-2.052785924,-10.55718475,-8.152492669,-6.744868035,-5.395894428,-3.57771261,-13.37243402,-6.371859724,-9.745708846,-52.88512887
26,-2.11143695,-10.49853372,-8.211143695,-6.744868035,-5.454545455,-3.636363636,-13.31378299,-6.420991147,-9.824013659,-53.39277685
27,-2.228739003,-10.55718475,-8.211143695,-6.803519062,-5.513196481,-3.753665689,-13.31378299,-6.482636577,-9.928864811,-53.93373437
28,-2.287390029,-10.55718475,-8.269794721,-6.862170088,-5.571847507,-3.812316716,-13.25513196,-6.53353983,-10.00742401,-54.4181297
29,-2.346041056,-10.55718475,-8.269794721,-6.920821114,-5.630498534,-3.870967742,-13.31378299,-6.574106213,-10.0610351,-54.80400924
30,-2.346041056,-10.61583578,-8.328445748,-6.920821114,-5.630498534,-3.870967742,-13.37243402,-6.598310291,-10.06966257,-55.06328363
31,-2.404692082,-10.6744868,-8.387096774,-6.979472141,-5.630498534,-3.870967742,-13.48973607,-6.625459449,-10.08675883,-55.27656095
32,-2.404692082,-10.73313783,-8.387096774,-6.979472141,-5.68914956,-3.929618768,-13.5483871,-6.643697209,-10.08114066,-55.43968168
33,-2.404692082,-10.79178886,-8.445747801,-6.979472141,-5.68914956,-3.929618768,-13.66568915,-6.661759312,-10.0732775,-55.56820565
34,-2.404692082,-10.85043988,-8.445747801,-7.038123167,-5.68914956,-3.929618768,-13.7829912,-6.683962886,-10.06928017,-55.66158867
35,-2.404692082,-10.96774194,-8.504398827,-7.038123167,-5.747800587,-3.929618768,-13.90029326,-6.715065612,-10.07034177,-55.71883908
36,-2.463343109,-11.02639296,-8.563049853,-7.096774194,-5.747800587,-3.988269795,-14.01759531,-6.767099891,-10.10754485,-55.77272021
37,-2.463343109,-11.14369501,-8.62170088,-7.15542522,-5.806451613,-4.046920821,-14.13489736,-6.823146232,-10.13299039,-55.80395729
38,-2.521994135,-11.20234604,-8.680351906,-7.214076246,-5.865102639,-4.105571848,-14.25219941,-6.887183589,-10.18532326,-55.84920543
39,-2.580645161,-11.26099707,-8.797653959,-7.331378299,-5.982404692,-4.164222874,-14.36950147,-6.953649786,-10.23650779,-55.86933402
40,-2.639296188,-11.37829912,-8.856304985,-7.390029326,-6.041055718,-4.2228739,-14.54545455,-7.02509971,-10.28213031,-55.84145119
41,-2.639296188,-11.5542522,-8.973607038,-7.448680352,-6.099706745,-4.2228739,-14.72140762,-7.095256042,-10.29918652,-55.72456762
42,-2.639296188,-11.67155425,-9.032258065,-7.565982405,-6.158357771,-4.281524927,-14.95601173,-7.163310624,-10.29859679,-55.50012599
43,-2.639296188,-11.84750733,-9.149560117,-7.624633431,-6.217008798,-4.281524927,-15.19061584,-7.220876398,-10.27543495,-55.15846613
44,-2.639296188,-12.08211144,-9.26686217,-7.683284457,-6.217008798,-4.281524927,-15.48387097,-7.270678081,-10.23290471,-54.72489909
45,-2.580645161,-12.31671554,-9.384164223,-7.741935484,-6.217008798,-4.281524927,-15.7771261,-7.307548106,-10.15701327,-54.21148488
46,-2.521994135,-12.49266862,-9.501466276,-7.80058651,-6.217008798,-4.2228739,-16.01173021,-7.339265059,-10.07975842,-53.67941326
47,-2.521994135,-12.72727273,-9.618768328,-7.80058651,-6.275659824,-4.2228739,-16.24633431,-7.377672199,-10.03076766,-53.18436238
48,-2.463343109,-12.90322581,-9.677419355,-7.859237537,-6.275659824,-4.2228739,-16.42228739,-7.407496241,-9.96943667,-52.69207315
49,-2.463343109,-13.02052786,-9.794721408,-7.917888563,-6.275659824,-4.2228739,-16.59824047,-7.440897493,-9.931607223,-52.2331878
50,-2.404692082,-13.19648094,-9.853372434,-7.976539589,-6.33431085,-4.164222874,-16.77419355,-7.466881566,-9.878153638,-51.77155328
51,-2.346041056,-13.31378299,-9.970674487,-8.035190616,-6.33431085,-4.164222874,-16.8914956,-7.489106273,-9.827765188,-51.32461432
,,,,,,,,,,
,,,,,,,,,,
"Gamma0 statistics. Lon. [-71, -58] [Deg], Lat. [-1.5, 1.5] [Deg]: HH Pol., Descending",,,,,,,,,,
Loc. inc. angle [Deg],Maximum [dB],5th percentile [dB],25th percentile [dB],Median [dB],75th percentile [dB],95th percentile [dB],Minimum [dB],Mean [dB],Std. Dev. [dB],SEM [dB]
25,-1.876832845,-10.08797654,-7.859237537,-6.451612903,-5.161290323,-3.401759531,-12.55131965,-6.120825493,-9.592843595,-53.13333931
26,-1.935483871,-10.08797654,-7.859237537,-6.451612903,-5.161290323,-3.401759531,-12.60997067,-6.133354318,-9.621079469,-53.65584599
27,-1.935483871,-10.08797654,-7.859237537,-6.51026393,-5.161290323,-3.401759531,-12.6686217,-6.14482766,-9.634582026,-54.14674638
28,-1.935483871,-10.14662757,-7.859237537,-6.51026393,-5.219941349,-3.460410557,-12.72727273,-6.158495564,-9.646341214,-54.5665886
29,-1.935483871,-10.14662757,-7.917888563,-6.51026393,-5.219941349,-3.460410557,-12.78592375,-6.174318502,-9.647192539,-54.85571931
30,-1.935483871,-10.20527859,-7.917888563,-6.51026393,-5.219941349,-3.460410557,-12.84457478,-6.191641922,-9.634268365,-55.0021801
31,-1.935483871,-10.32258065,-7.976539589,-6.568914956,-5.219941349,-3.460410557,-13.02052786,-6.20492904,-9.599748564,-55.05530121
32,-1.876832845,-10.38123167,-8.035190616,-6.568914956,-5.219941349,-3.401759531,-13.13782991,-6.213151046,-9.555036001,-55.05409683
33,-1.876832845,-10.4398827,-8.035190616,-6.568914956,-5.219941349,-3.401759531,-13.25513196,-6.220461037,-9.531487498,-55.0716115
34,-1.876832845,-10.49853372,-8.035190616,-6.568914956,-5.219941349,-3.401759531,-13.37243402,-6.227343815,-9.515585187,-55.09585628
35,-1.876832845,-10.55718475,-8.093841642,-6.627565982,-5.219941349,-3.401759531,-13.48973607,-6.245312588,-9.510041635,-55.11554477
36,-1.876832845,-10.6744868,-8.152492669,-6.627565982,-5.278592375,-3.460410557,-13.66568915,-6.276893644,-9.512351771,-55.13153184
37,-1.935483871,-10.73313783,-8.152492669,-6.686217009,-5.278592375,-3.460410557,-13.7829912,-6.32034953,-9.547941866,-55.18377665
38,-1.935483871,-10.79178886,-8.211143695,-6.744868035,-5.337243402,-3.519061584,-13.90029326,-6.363681816,-9.566709575,-55.21682957
39,-1.994134897,-10.90909091,-8.328445748,-6.803519062,-5.395894428,-3.57771261,-14.07624633,-6.419938771,-9.601544335,-55.23336448
40,-1.994134897,-11.02639296,-8.387096774,-6.862170088,-5.454545455,-3.57771261,-14.25219941,-6.477368562,-9.611614727,-55.17511294
41,-2.052785924,-11.20234604,-8.445747801,-6.920821114,-5.513196481,-3.636363636,-14.42815249,-6.545265308,-9.64265934,-55.08395155
42,-2.052785924,-11.31964809,-8.563049853,-6.979472141,-5.571847507,-3.695014663,-14.6627566,-6.607397289,-9.644693487,-54.89417814
43,-2.052785924,-11.5542522,-8.680351906,-7.038123167,-5.630498534,-3.695014663,-14.95601173,-6.667831645,-9.62498429,-54.57148021
44,-1.994134897,-11.7888563,-8.797653959,-7.15542522,-5.630498534,-3.695014663,-15.30791789,-6.718283262,-9.553169066,-54.06792925
45,-1.935483871,-12.08211144,-8.973607038,-7.214076246,-5.630498534,-3.636363636,-15.71847507,-6.762813574,-9.450631973,-53.43338655
46,-1.876832845,-12.37536657,-9.090909091,-7.272727273,-5.630498534,-3.57771261,-16.07038123,-6.797387869,-9.341824003,-52.76852309
47,-1.818181818,-12.60997067,-9.208211144,-7.331378299,-5.630498534,-3.519061584,-16.36363636,-6.823112497,-9.243803739,-52.15029441
48,-1.759530792,-12.84457478,-9.325513196,-7.390029326,-5.630498534,-3.519061584,-16.59824047,-6.845036294,-9.161126914,-51.60023572
49,-1.700879765,-13.02052786,-9.442815249,-7.390029326,-5.630498534,-3.460410557,-16.83284457,-6.866056449,-9.087782228,-51.10144288
50,-1.642228739,-13.19648094,-9.560117302,-7.448680352,-5.68914956,-3.460410557,-17.00879765,-6.886217375,-9.022205405,-50.63973646
51,-1.583577713,-13.37243402,-9.618768328,-7.507331378,-5.68914956,-3.401759531,-17.12609971,-6.905389649,-8.962292779,-50.20295261
,,,,,,,,,,
,,,,,,,,,,
"Gamma0 statistics. Lon. [-71, -58] [Deg], Lat. [-1.5, 1.5] [Deg]: HH Pol., Ascending, Dry Season",,,,,,,,,,
Loc. inc. angle [Deg],Maximum [dB],5th percentile [dB],25th percentile [dB],Median [dB],75th percentile [dB],95th percentile [dB],Minimum [dB],Mean [dB],Std. Dev. [dB],SEM [dB]
25,-1.935483871,-10.55718475,-8.093841642,-6.627565982,-5.278592375,-3.460410557,-13.5483871,-6.264012892,-9.577428947,-48.92419113
26,-1.994134897,-10.55718475,-8.093841642,-6.627565982,-5.278592375,-3.519061584,-13.5483871,-6.296608231,-9.628380774,-49.36495156
27,-2.052785924,-10.55718475,-8.152492669,-6.686217009,-5.337243402,-3.57771261,-13.5483871,-6.329800035,-9.6811781,-49.80678616
28,-2.11143695,-10.55718475,-8.152492669,-6.686217009,-5.337243402,-3.57771261,-13.5483871,-6.361969821,-9.738418089,-50.26442345
29,-2.170087977,-10.55718475,-8.152492669,-6.744868035,-5.395894428,-3.636363636,-13.5483871,-6.39475754,-9.8024306,-50.75513269
30,-2.228739003,-10.55718475,-8.152492669,-6.744868035,-5.454545455,-3.695014663,-13.48973607,-6.429116741,-9.875272577,-51.28801472
31,-2.287390029,-10.55718475,-8.211143695,-6.803519062,-5.513196481,-3.753665689,-13.48973607,-6.469994306,-9.951088138,-51.8437288
32,-2.346041056,-10.55718475,-8.211143695,-6.803519062,-5.513196481,-3.812316716,-13.48973607,-6.513111795,-10.02195105,-52.37416367
33,-2.404692082,-10.55718475,-8.269794721,-6.862170088,-5.571847507,-3.870967742,-13.48973607,-6.55250756,-10.07927282,-52.80763007
34,-2.404692082,-10.61583578,-8.269794721,-6.920821114,-5.630498534,-3.870967742,-13.48973607,-6.58692134,-10.10471971,-53.08973659
35,-2.463343109,-10.6744868,-8.328445748,-6.979472141,-5.68914956,-3.929618768,-13.5483871,-6.633807069,-10.13838204,-53.23442802
36,-2.463343109,-10.79178886,-8.445747801,-7.038123167,-5.68914956,-3.988269795,-13.66568915,-6.684193132,-10.1430627,-53.20838155
37,-2.463343109,-10.90909091,-8.504398827,-7.096774194,-5.747800587,-3.988269795,-13.7829912,-6.743245251,-10.15182686,-53.08028243
